1 349.327 2.28 56.14 2.28
2 319.355 2.494 59.9 1.247
3 328.11 2.427 58.8 0.809
4 345.484 2.305 56.62 0.57625
5 459.879 1.732 42.25 0.3464
6 481.348 1.654 39.56 0.27566666666666667
8 508.23 1.567 36.18 0.195875
