1 856.035 0.93 -7.49
2 468.802 1.699 41.13
3 360.729 2.208 54.7
4 295.402 2.696 62.91
5 290.458 2.742 63.53
6 276.394 2.881 65.29
7 268.991 2.961 66.22
8 264.371 3.012 66.8
